text,author,tags
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,change;deep-thoughts;thinking;world
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,abilities;choices
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,inspirational;life;miracle
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,aliterature;books;humor
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,be-yourself;inspirational
